rand,sort,100,2,2607,2607,1008
rand,scan,100,2,1100,1100,100
rand,focus,100,2,299,299,199
fifo,sort,100,2,2178,2178,940
fifo,scan,100,2,1100,1100,100
fifo,focus,100,2,299,299,199
custom,sort,100,2,3367,3367,987
custom,scan,100,2,1100,1100,100
custom,focus,100,2,299,299,199
rand,sort,100,5,1420,1420,759
rand,scan,100,5,1100,1100,100
rand,focus,100,5,292,292,193
fifo,sort,100,5,1232,1232,716
fifo,scan,100,5,1100,1100,100
fifo,focus,100,5,295,295,196
custom,sort,100,5,1366,1366,718
custom,scan,100,5,1100,1100,100
custom,focus,100,5,295,295,196
rand,sort,100,10,1092,1092,652
rand,scan,100,10,1100,1100,100
rand,focus,100,10,289,289,189
fifo,sort,100,10,1008,1008,604
fifo,scan,100,10,1100,1100,100
fifo,focus,100,10,288,288,189
custom,sort,100,10,1145,1145,604
custom,scan,100,10,1100,1100,100
custom,focus,100,10,285,285,189
rand,sort,100,20,834,834,526
rand,scan,100,20,1095,1095,100
rand,focus,100,20,278,278,184
fifo,sort,100,20,800,800,500
fifo,scan,100,20,1100,1100,100
fifo,focus,100,20,275,275,181
custom,sort,100,20,915,915,500
custom,scan,100,20,1100,1100,100
custom,focus,100,20,270,270,181
rand,sort,100,30,682,682,450
rand,scan,100,30,1059,1059,100
rand,focus,100,30,254,254,165
fifo,sort,100,30,600,600,400
fifo,scan,100,30,1100,1100,100
fifo,focus,100,30,257,257,164
custom,sort,100,30,684,684,397
custom,scan,100,30,1099,1099,100
custom,focus,100,30,235,235,149
rand,sort,100,40,604,604,415
rand,scan,100,40,1000,1000,100
rand,focus,100,40,236,236,150
fifo,sort,100,40,600,600,400
fifo,scan,100,40,1100,1100,100
fifo,focus,100,40,247,247,154
custom,sort,100,40,644,644,361
custom,scan,100,40,1064,1064,100
custom,focus,100,40,215,215,115
rand,sort,100,50,524,524,364
rand,scan,100,50,882,882,100
rand,focus,100,50,216,216,127
fifo,sort,100,50,500,500,300
fifo,scan,100,50,1100,1100,100
fifo,focus,100,50,236,236,153
custom,sort,100,50,526,526,251
custom,scan,100,50,1030,1030,100
custom,focus,100,50,204,204,104
rand,sort,100,60,433,433,301
rand,scan,100,60,768,768,100
rand,focus,100,60,207,207,119
fifo,sort,100,60,400,400,300
fifo,scan,100,60,1100,1100,100
fifo,focus,100,60,200,200,140
custom,sort,100,60,382,382,241
custom,scan,100,60,956,956,100
custom,focus,100,60,182,182,82
rand,sort,100,70,373,373,261
rand,scan,100,70,614,614,100
rand,focus,100,70,180,180,98
fifo,sort,100,70,400,400,300
fifo,scan,100,70,1100,1100,100
fifo,focus,100,70,200,200,130
custom,sort,100,70,362,362,231
custom,scan,100,70,841,841,100
custom,focus,100,70,168,168,68
rand,sort,100,80,272,272,177
rand,scan,100,80,477,477,100
rand,focus,100,80,145,145,60
fifo,sort,100,80,400,400,300
fifo,scan,100,80,1100,1100,100
fifo,focus,100,80,200,200,120
custom,sort,100,80,342,342,221
custom,scan,100,80,459,459,100
custom,focus,100,80,141,141,41
rand,sort,100,90,182,182,90
rand,scan,100,90,301,301,88
rand,focus,100,90,126,126,36
fifo,sort,100,90,400,400,300
fifo,scan,100,90,1100,1100,100
fifo,focus,100,90,200,200,110
custom,sort,100,90,322,322,211
custom,scan,100,90,210,210,11
custom,focus,100,90,122,122,22
rand,sort,100,100,100,100,0
rand,scan,100,100,100,100,0
rand,focus,100,100,100,100,0
fifo,sort,100,100,100,100,0
fifo,scan,100,100,100,100,0
fifo,focus,100,100,100,100,0
custom,sort,100,100,100,100,0
custom,scan,100,100,100,100,0
custom,focus,100,100,100,100,0
